name,gender,age,DetailClass,embarked,country,ticketno,fare,sibsp,parch,survived,class
"Daher, Mr. Tannous",male,28,3rd,C,NA,2686,7.0407,0,0,no,3rd
"Dahlberg, Miss. Gerda Ulrika",female,22,3rd,S,Sweden,7552,10.1004,0,0,no,3rd
"Dahl, Mr. Charles Edward",male,45,3rd,S,NA,7598,8.01,0,0,yes,3rd
"Dakic, Mr. Branko",male,19,3rd,S,NA,349228,10.0305,0,0,no,3rd
"Daly, Miss. Margaret Marcella",female,33,3rd,Q,Ireland,382650,6.19,0,0,yes,3rd
"Daly, Mr. Eugene Patrick",male,29,3rd,Q,Ireland,382651,7.15,0,0,yes,3rd
"Daly, Mr. Peter Dennis",male,51,1st,S,England,113055,26.11,0,0,yes,1st
"Danbom, Master. Gilbert Sigvard Emanuel",male,0.3333333333,3rd,S,Sweden,347080,14.08,0,2,no,3rd
"Danbom, Mr. Ernst Gilbert",male,34,3rd,S,Sweden,347080,14.08,1,1,no,3rd
"Danbom, Mrs. Anna Sigrid Maria",female,28,3rd,S,Sweden,347080,14.08,1,1,no,3rd
"Daniel, Mr. Robert Williams",male,27,1st,S,United States,113804,30.1,0,0,yes,1st
"Daniels, Miss. Sarah Rebecca",female,36,1st,S,England,113781,151.16,0,0,yes,1st
"Danoff, Mr. Yoto",male,27,3rd,S,NA,349219,7.1711,0,0,no,3rd
"Davidson, Mrs. Orian",female,27,1st,C,Canada,12750,52,1,2,yes,1st
"Davidson, Mr. Thornton",male,31,1st,C,Canada,12750,52,1,0,no,1st
"Davies, Master. John Morgan jr",male,8,2nd,S,England,33112,36.15,1,1,yes,2nd
"Davies, Mr. Alfred James",male,24,3rd,S,England,48871,24.03,2,0,no,3rd
"Davies, Mr. Charles Henry",male,19,2nd,S,England,14879,73.1,0,0,no,2nd
"Davies, Mr. Evan Lewis",male,22,3rd,S,Wales,23568,8.01,0,0,no,3rd
"Davies, Mr. John",male,22,3rd,S,England,48871,24.03,2,0,no,3rd
"Davies, Mr. Joseph",male,17,3rd,S,England,48873,8.01,2,0,no,3rd
"Davies, Mrs. Agnes",female,48,2nd,S,England,33112,36.15,0,2,yes,2nd
"Davis, Miss. Mary Ann Charlotte",female,28,2nd,S,England,237668,13,0,0,yes,2nd
"Davison, Mrs. Mary Elizabeth",female,34,3rd,S,England,386525,16.02,1,0,yes,3rd
"Davison, Mr. Thomas Henry",male,32,3rd,S,England,386525,16.02,1,0,no,3rd
"Deacon, Mr. Percy William",male,18,2nd,S,England,14879,73.1,0,0,no,2nd
"Dean, Master. Bertram Vere",male,1,3rd,S,England,2315,20.1106,1,2,yes,3rd
"Dean, Miss. Elizabeth Gladys 'Millvina'",female,0.1666666667,3rd,S,England,2315,20.1106,1,2,yes,3rd
"Dean, Mr. Bertram Frank",male,25,3rd,S,England,2315,20.1106,1,2,no,3rd
"Dean, Mrs. Eva Georgetta",female,32,3rd,S,England,2315,20.1106,1,2,yes,3rd
"Delalic, Mr. Redjo",male,25,3rd,S,Bosnia,349250,7.1711,0,0,no,3rd
"Del Carlo, Mrs. Argene",female,24,2nd,C,Italy,2167,27.1405,1,0,yes,2nd
"Del Carlo, Mr. Sebastiano",male,29,2nd,C,Italy,2167,27.1405,1,0,no,2nd
"De Messemaeker, Mr. Guillaume Joseph",male,36,3rd,S,United States,345572,17.08,1,0,yes,3rd
"De Messemaeker, Mrs. Anna",female,36,3rd,S,United States,345572,17.08,1,0,yes,3rd
"De Mulder, Mr. Theodoor",male,30,3rd,S,Belgium,345774,9.1,0,0,yes,3rd
"Denbuoy, Mr. Albert Joseph",male,25,2nd,S,Channel Islands,31029,31.1,0,0,no,2nd
"Denkoff, Mr. Mitto",male,30,3rd,S,NA,349225,7.1711,0,0,no,3rd
"Dennis, Mr. Samuel",male,22,3rd,S,England,21172,7.05,0,0,no,3rd
"Dennis, Mr. William",male,26,3rd,S,England,21175,7.05,0,0,no,3rd
"De Pelsmaeker, Mr. Alfons",male,16,3rd,S,Belgium,345778,9.1,0,0,no,3rd
"Devaney, Miss. Margaret Delia",female,19,3rd,Q,Ireland,330958,7.1707,0,0,yes,3rd
"Dibden, Mr. William",male,18,2nd,S,England,14879,73.1,0,0,no,2nd
"Dick, Mr. Albert Adrian",male,31,1st,S,Canada,17474,57,1,0,yes,1st
"Dick, Mrs. Vera",female,17,1st,S,United States,17474,57,1,0,yes,1st
"Dika, Mr. Mirko",male,17,3rd,S,Croatia (Modern),349232,7.1711,0,0,no,3rd
"Dimic, Mr. Jovan",male,42,3rd,S,Hungary,315088,8.1303,0,0,no,3rd
"Dintcheff, Mr. Valtcho",male,43,3rd,S,NA,349226,7.1711,0,0,no,3rd
"Dodge, Dr. Washington",male,52,1st,S,United States,33638,81.1702,1,1,yes,1st
"Dodge, Master. Washington",male,4,1st,S,United States,33638,81.1702,0,2,yes,1st
"Dodge, Mrs. Ruth",female,34,1st,S,United States,33638,81.1702,1,1,yes,1st
"Doling, Miss. Elsie",female,18,2nd,S,England,231919,23,0,1,yes,2nd
"Doling, Mrs. Ada Julia Elizabeth",female,34,2nd,S,England,231919,23,0,1,yes,2nd
"Donohoe, Miss. Bridget",female,21,3rd,Q,Ireland,364856,7.15,0,0,no,3rd
"Dooly, Mr. Patrick",male,37,3rd,Q,Ireland,370376,7.15,0,0,no,3rd
"Dorking, Mr. Edward Arthur",male,18,3rd,S,England,10482,8.01,0,0,yes,3rd
"Dougherty, Mr. William John",male,22,3rd,Q,Ireland,330877,8.0902,0,0,no,3rd
"Douglas, Mrs. Mahala",female,48,1st,C,United States,17761,106.0806,1,0,yes,1st
"Douglas, Mrs. Mary Hélène",female,27,1st,C,Canada,17558,247.1005,1,1,yes,1st
"Douglas, Mr. Walter Donald",male,50,1st,C,United States,17761,106.0806,1,0,no,1st
"Douton, Mr. William Joseph",male,55,2nd,S,England,28403,26,0,0,no,2nd
"Dowdell, Miss. Elizabeth",female,31,3rd,S,United States,364516,12.0906,0,0,yes,3rd
"Doyle, Miss. Elizabeth",female,28,3rd,Q,Ireland,368702,7.15,0,0,no,3rd
"Drazenovic, Mr. Jozef",male,33,3rd,C,Croatia (Modern),349241,7.1711,0,0,no,3rd
"Drew, Master. Marshall Brines",male,8,2nd,S,United States,28220,32.1,0,2,yes,2nd
"Drew, Mr. James Vivian",male,42,2nd,S,England,28220,32.1,1,1,no,2nd
"Drew, Mrs. Maria Louisa Thorne",female,34,2nd,S,United States,28220,32.1,1,1,yes,2nd
"Driscoll, Miss. Bridget",female,27,3rd,Q,Ireland,14311,7.15,0,0,yes,3rd
"Dropkin, Miss. Jennie",female,24,3rd,S,England,392083,8.01,0,0,yes,3rd
"Duff Gordon, Lucy Christiana, Lady",female,48,1st,C,England,17485,56.1807,1,0,yes,1st
"Duff Gordon, Sir. Cosmo Edmund",male,49,1st,C,England,11755,39.12,1,0,yes,1st
"Dulles, Mr. William Crothers",male,39,1st,C,United States,17580,29.14,0,0,no,1st
"Duquemin, Mr. Joseph Pierre",male,24,3rd,S,Channel Islands,752,7.11,0,0,yes,3rd
"Durán i Moné, Sra. Asuncion",female,27,2nd,C,Spain,2149,13.1702,1,0,yes,2nd
"Durán i Moné, Sra. Florentina",female,30,2nd,C,Spain,2148,13.1702,1,0,yes,2nd
"Dwan, Mr. Frank",male,65,3rd,Q,Ireland,336439,7.15,0,0,no,3rd
"Dyker, Mr. Adolf Fredrik",male,23,3rd,S,United States,347072,13.18,1,0,no,3rd
"Dyker, Mrs. Anna Elisabeth Judith",female,22,3rd,S,United States,347072,13.18,1,0,yes,3rd
"Earnshaw, Mrs. Olive",female,23,1st,C,United States,11767,83.0302,0,1,yes,1st
"Edvardsson, Mr. Gustaf Hjalmar",male,18,3rd,S,Sweden,349912,7.1506,0,0,no,3rd
"Eitemiller, Mr. George Floyd",male,25,2nd,S,United States,29751,13,0,0,no,2nd
"Eklund, Mr. Hans Linus",male,16,3rd,S,Sweden,347074,7.1506,0,0,no,3rd
"Ekström, Mr. Amandus",male,45,3rd,S,Sweden,347061,6.1906,0,0,no,3rd
"Elias, Mr. Dibo",male,29,3rd,C,NA,2674,7.0406,0,0,no,3rd
"Elias, Mr. Joseph jr.",male,15,3rd,C,Lebanon,2690,7.0407,1,1,no,3rd
"Elias Nasrallah, Mr. Tannous",male,22,3rd,C,Lebanon,2695,7.0407,1,1,no,3rd
"Elsbury, Mr. William James",male,48,3rd,S,England,3902,7.05,0,0,no,3rd
"Emanuel, Miss. Virginia Ethel",female,5,3rd,S,United States,364516,12.0906,0,0,yes,3rd
"Enander, Mr. Ingvar",male,21,2nd,S,Sweden,236854,13,0,0,no,2nd
"Endres, Miss. Caroline Louise",female,39,1st,C,United States,17757,247.1006,0,0,yes,1st
"Estanislau, Mr. Manuel Gonçalves",male,37,3rd,S,NA,3101306,7.01,0,0,no,3rd
"Eustis, Miss. Elizabeth Mussey",female,54,1st,C,United States,36947,78.0504,1,0,yes,1st
"Evans, Miss. Edith Corse",female,36,1st,C,United States,17531,31.1307,0,0,no,1st
"Everett, Mr. Thomas James",male,38,3rd,S,England,6212,15.02,0,0,no,3rd
"Fahlstrøm, Mr. Arne Joma",male,18,2nd,S,Norway,236171,13,0,0,no,2nd
"Fardon, Mr. Charles Richard",male,46,3rd,S,England,3101314,7.05,0,0,no,3rd
"Farrell, Mr. James",male,26,3rd,Q,Ireland,367232,7.15,0,0,no,3rd
"Farthing, Mr. John",male,49,1st,S,England,17483,221.1507,0,0,no,1st
"Faunthorpe, Mr. Harry Bartram",male,32,2nd,S,England,2926,26,1,0,no,2nd
"Fillbrook, Mr. Joseph Charles",male,18,2nd,S,England,15185,10.1,0,0,no,2nd
"Finoli, Mr. Luigi",male,34,3rd,S,NA,3101308,7.01,0,0,yes,3rd
"Fischer, Mr. Eberhard Thelander",male,18,3rd,S,Sweden,350036,7.1511,0,0,no,3rd
"Flegenheim, Mrs. Antoinette",female,48,1st,C,United States,17598,31.1308,0,0,yes,1st
"Fleming, Miss. Honor",female,22,3rd,Q,Ireland,364859,7.15,0,0,no,3rd
"Fleming, Miss. Margaret",female,42,1st,C,United States,17421,110.1708,0,0,yes,1st
"Flynn, Mr. James",male,28,3rd,Q,Ireland,364851,7.15,0,0,no,3rd
"Flynn, Mr. John",male,48,3rd,Q,Ireland,368323,6.19,0,0,no,3rd
"Flynn, Mr. John Irwin",male,36,1st,S,Canada,14474,26.0509,0,0,yes,1st
"Foley, Mr. Joseph",male,19,3rd,Q,Ireland,330910,7.1707,0,0,no,3rd
"Foley, Mr. William",male,20,3rd,Q,Ireland,365235,7.15,0,0,no,3rd
"Foo, Mr. Choong",male,32,3rd,S,NA,1601,56.0911,0,0,yes,3rd
"Ford, Miss. Dollina Margaret",female,20,3rd,S,England,6608,34.0706,2,2,no,3rd
"Ford, Miss. Robina Maggie",female,7,3rd,S,England,6608,34.0706,2,2,no,3rd
"Ford, Mr. Arthur",male,23,3rd,S,England,1478,8.01,0,0,no,3rd
"Ford, Mr. Edward Watson",male,18,3rd,S,England,6608,34.0706,2,2,no,3rd
"Ford, Mrs. Margaret Ann Watson",female,54,3rd,S,Scotland,6608,34.0706,1,3,no,3rd
"Ford, Mr. William Neal Thomas",male,14,3rd,S,England,6608,34.0706,1,3,no,3rd
"Foreman, Mr. Benjamin Laventall",male,30,1st,S,United States,113051,27.15,0,0,no,1st
"Fortune, Miss. Alice Elizabeth",female,24,1st,S,Canada,19950,263,3,2,yes,1st
"Fortune, Miss. Ethel Flora",female,28,1st,S,Canada,19950,263,3,2,yes,1st
"Fortune, Miss. Mabel Helen",female,23,1st,S,Canada,19950,263,3,2,yes,1st
"Fortune, Mr. Charles Alexander",male,19,1st,S,Canada,19950,263,3,2,no,1st
"Fortune, Mr. Mark",male,64,1st,S,Canada,19950,263,1,4,no,1st
"Fortune, Mrs. Mary",female,60,1st,S,Canada,19950,263,1,4,yes,1st
"Fox, Mr. Patrick",male,28,3rd,Q,Ireland,368573,7.15,0,0,no,3rd
"Fox, Mr. Stanley Harrington",male,38,2nd,S,United States,229236,13,0,0,no,2nd
"Francatelli, Miss. Laura Mabel",female,32,1st,C,England,17485,56.1807,0,0,yes,1st
"Franklin, Mr. Thomas Parnham",male,37,1st,S,England,113778,26.11,0,0,no,1st
"Frauenthal, Dr. Henry William",male,49,1st,S,United States,17611,133.13,2,0,yes,1st
"Frauenthal, Mr. Isaac Gerald",male,43,1st,C,United States,17765,27.1405,1,0,yes,1st
"Frauenthal, Mrs. Clara",female,42,1st,S,United States,17611,133.13,1,0,yes,1st
"Frölicher, Miss. Hedwig Margaritha",female,22,1st,C,Switzerland,13568,49.1,0,2,yes,1st
"Frölicher-Stehli, Mr. Maximilian Josef",male,60,1st,C,Switzerland,13567,79.04,1,1,yes,1st
"Frölicher-Stehli, Mrs. Margaretha Emerentia",female,48,1st,C,Switzerland,13567,79.04,1,1,yes,1st
"Frost, Mr. Anthony Wood",male,39,2nd,B,England,239854,,0,0,no,2nd
"Fry, Mr. Richard",male,39,1st,S,England,112058,,0,0,no,1st
"Funk, Miss. Annie Clemmer",female,38,2nd,S,India,237671,13,0,0,no,2nd
"Futrelle, Mr. Jacques Heath",male,37,1st,S,England,113803,53.02,1,0,no,1st
"Futrelle, Mrs. Lily May",female,35,1st,S,England,113803,53.02,1,0,yes,1st
"Fynney, Mr. Joseph J.",male,36,2nd,S,England,239865,26,0,0,no,2nd
"Gale, Mr. Harry",male,38,2nd,S,England,28664,21,1,0,no,2nd
"Gale, Mr. Shadrach",male,33,2nd,S,England,28664,21,1,0,no,2nd
"Gallagher, Mr. Martin",male,29,3rd,Q,Ireland,36864,7.141,0,0,no,3rd
"Garfirth, Mr. John",male,23,3rd,S,England,358585,14.1,0,0,no,3rd
"Garside, Miss. Ethel",female,39,2nd,S,England,243880,13,0,0,yes,2nd
"Gaskell, Mr. William Alfred",male,19,2nd,S,England,239865,26,0,0,no,2nd
"Gavey, Mr. Laurence",male,26,2nd,S,Channel Islands,31028,10.1,0,0,no,2nd
"Gee, Mr. Arthur H.",male,47,1st,S,England,111320,38.1,0,0,no,1st
"George/Joseph, Mrs. Shawneene",female,38,3rd,C,United States,2688,7.0407,0,0,yes,3rd
"Gerios Thamah, Mr. Assaf",male,21,3rd,C,Lebanon,2692,7.0406,0,0,no,3rd
"Gheorgheff, Mr. Stanio",male,,3rd,C,Bulgaria,349254,7.1711,0,0,no,3rd
"Gibson, Miss. Dorothy Winifred",female,22,1st,C,United States,112378,59.08,0,1,yes,1st
"Gibson, Mrs. Pauline Caroline",female,44,1st,C,United States,112378,59.08,0,1,yes,1st
"Gieger, Miss. Amalie",female,35,1st,S,NA,113503,211.1,0,0,yes,1st
"Giglio, Mr. Victor Gaitan Andrea",male,23,1st,C,NA,17593,79.04,0,0,no,1st
"Gilbert, Mr. William",male,47,2nd,S,England,30769,10.1,0,0,no,2nd
"Giles, Mr. Edgar",male,19,2nd,S,England,28133,11.1,1,0,no,2nd
"Giles, Mr. Frederick Edward",male,21,2nd,S,England,28134,11.1,1,0,no,2nd
"Giles, Mr. Ralph",male,24,2nd,S,England,248726,13.1,0,0,no,2nd
"Gilinski, Mr. Eliezer",male,23,3rd,S,Wales,14973,8.01,0,0,no,3rd
"Gillespie, Mr. William Henry",male,31,2nd,S,Ireland,12233,13,0,0,no,2nd
"Gill, Mr. John",male,24,2nd,S,England,233866,13,0,0,no,2nd
"Gilnagh, Miss. Katherine",female,17,3rd,Q,Ireland,35851,7.1408,0,0,yes,3rd
"Givard, Mr. Hans Kristensen",male,30,2nd,S,Argentina,250646,13,0,0,no,2nd
"Glynn, Miss. Mary Agatha",female,18,3rd,Q,Ireland,335677,7.15,0,0,yes,3rd
"Goldenberg, Mr. Samuel L.",male,47,1st,C,United States,17453,89.0201,1,0,yes,1st
"Goldenberg, Mrs. Nella",female,40,1st,C,United States,17453,89.0201,1,0,yes,1st
"Goldschmidt, Mr. George B.",male,71,1st,C,United States,17754,34.1301,0,0,no,1st
"Goldsmith, Master. Frank John William",male,9,3rd,S,England,363291,20.1006,0,2,yes,3rd
"Goldsmith, Mr. Frank John",male,33,3rd,S,England,363291,20.1006,1,1,no,3rd
"Goldsmith, Mr. Nathan",male,41,3rd,S,NA,3101263,7.17,0,0,no,3rd
"Goldsmith, Mrs. Emily Alice",female,31,3rd,S,England,363291,20.1006,1,1,yes,3rd
"Goodwin, Master. Harold Victor",male,9,3rd,S,England,2144,46.18,5,2,no,3rd
"Goodwin, Master. Sidney Leslie",male,1,3rd,S,England,2144,46.18,5,2,no,3rd
"Goodwin, Master. William Frederick",male,11,3rd,S,England,2144,46.18,5,2,no,3rd
"Goodwin, Miss. Jessie Allis",female,10,3rd,S,England,2144,46.18,5,2,no,3rd
"Goodwin, Miss. Lillian Amy",female,16,3rd,S,England,2144,46.18,5,2,no,3rd
"Goodwin, Mr. Charles Edward",male,14,3rd,S,England,2144,46.18,5,2,no,3rd
"Goodwin, Mr. Frederick Joseph",male,42,3rd,S,England,2144,46.18,1,6,no,3rd
"Goodwin, Mrs. Augusta",female,43,3rd,S,England,2144,46.18,1,6,no,3rd
"Gracie, Colonel. Archibald",male,53,1st,S,United States,113780,28.1,0,0,yes,1st
"Graham, Miss. Margaret Edith",female,19,1st,S,England,17582,153.0903,0,0,yes,1st
"Graham, Mr. George Edward",male,38,1st,S,Canada,112053,30,0,1,no,1st
"Graham, Mrs. Edith",female,59,1st,S,England,17582,153.0903,0,1,yes,1st
"Greenberg, Mr. Samuel",male,52,2nd,S,South Africa,250647,13,0,0,no,2nd
"Greenfield, Mrs. Blanche",female,45,1st,C,United States,17759,63.0702,0,1,yes,1st
"Greenfield, Mr. William Bertram",male,23,1st,C,United States,17759,63.0702,0,1,yes,1st
"Green, Mr. George",male,20,engineering crew,S,England,,,,,no,crew
"Green, Mr. George",male,41,3rd,S,England,21440,8.01,0,0,no,3rd
"Grønnestad, Mr. Daniel Danielsen",male,32,3rd,S,Norway,8471,8.0615,0,0,no,3rd
"Guest, Mr. Charles Robert",male,25,3rd,S,England,376563,8.01,0,0,no,3rd
"Guggenheim, Mr. Benjamin",male,46,1st,C,France,17593,79.04,0,0,no,1st
"Gustafsson, Mr. Alfred Ossian",male,19,3rd,S,Finland,7534,9.1611,0,0,no,3rd
"Gustafsson, Mr. Anders Vilhelm",male,37,3rd,S,Finland,3101276,7.1806,2,0,no,3rd
"Gustafsson, Mr. Johan Birger",male,28,3rd,S,Finland,3101277,7.1806,2,0,no,3rd
"Gustafsson, Mr. Karl Gideon",male,19,3rd,S,Sweden,347069,7.1506,0,0,no,3rd
"Haas, Miss. Aloisia",female,24,3rd,S,Switzerland,349236,8.17,0,0,no,3rd
"Hagland, Mr. Ingvald Olai Olsen",male,28,3rd,S,Norway,65303,6.1904,1,0,no,3rd
"Hagland, Mr. Konrad Mathias Reiersen",male,19,3rd,S,Norway,65304,6.1904,1,0,no,3rd
"Hakkarainen, Mr. Pekka Pietari",male,28,3rd,S,Finland,3101279,15.17,1,0,no,3rd
"Hakkarainen, Mrs. Elin Matilda",female,24,3rd,S,Finland,3101279,15.17,1,0,yes,3rd
"Hale, Mr. Reginald",male,30,2nd,S,England,250653,13,0,0,no,2nd
"Hämäläinen, Master. Viljo Unto Johannes",male,0.5833333333,2nd,S,United States,250649,14.1,1,1,yes,2nd
"Hämäläinen, Mrs. Anna",female,23,2nd,S,United States,250649,14.1,0,2,yes,2nd
"Hampe, Mr. Léon Jérome",male,19,3rd,S,Belgium,345769,9.1,0,0,no,3rd
"Hannah, Mr. Borak",male,27,3rd,C,Lebanon,2663,7.0407,0,0,yes,3rd
"Hanna, Mr. Boulos",male,18,3rd,C,Lebanon,2664,7.0406,0,0,no,3rd
"Hanna, Mr. Mansour",male,35,3rd,C,Lebanon,2693,7.0407,0,0,no,3rd
"Hansen, Mr. Claus Peter",male,41,3rd,S,United States,350026,14.0202,2,0,no,3rd
"Hansen, Mr. Henrik Juul",male,26,3rd,S,Denmark,350025,7.1701,1,0,no,3rd
"Hansen, Mr. Henry Damsgaard",male,21,3rd,S,Denmark,350029,7.1701,0,0,no,3rd
"Hansen, Mrs. Jennie Louise",female,45,3rd,S,United States,350026,14.0202,1,0,yes,3rd
"Harbeck, Mr. William H.",male,45,2nd,S,United States,248746,13,0,0,no,2nd
"Harder, Mr. George Achilles",male,25,1st,C,United States,11765,55.081,1,0,yes,1st
"Harder, Mrs. Dorothy",female,21,1st,C,United States,11765,55.081,1,0,yes,1st
"Hargadon, Miss. Catherine",female,17,3rd,Q,Ireland,30631,7.1408,0,0,no,3rd
"Harknett, Miss. Alice Phoebe",female,21,3rd,S,England,6609,7.11,0,0,no,3rd
"Harper, Miss. Annie Jessie",female,6,2nd,S,Scotland,248727,33,0,1,yes,2nd
"Harper, Mr. Henry Sleeper",male,48,1st,C,United States,17572,76.1407,1,0,yes,1st
"Harper, Mrs. Myra Raymond",female,49,1st,C,United States,17572,76.1407,1,0,yes,1st
"Harper, Rev. John",male,39,2nd,S,Scotland,248727,33,0,1,no,2nd
"Harrington, Mr. Charles Henry",male,37,1st,S,England,113796,42.08,0,0,no,1st
"Harris, Mr. George",male,62,2nd,S,England,752,10.1,0,0,yes,2nd
"Harris, Mr. Henry Birkhardt",male,45,1st,S,United States,36973,83.0906,1,0,no,1st
"Harris, Mrs. Irene",female,35,1st,S,United States,36973,83.0906,1,0,yes,1st
"Harris, Mr. Walter",male,45,2nd,S,England,14208,10.1,0,0,no,2nd
"Harrison, Mr. William Henry",male,46,1st,S,England,112059,,0,0,no,1st
"Hartley, Mr. Wallace Henry",male,33,2nd,S,England,250654,,,,no,2nd
"Hart, Miss. Eva Miriam",female,7,2nd,S,England,13529,26.05,0,2,yes,2nd
"Hart, Mr. Benjamin",male,47,2nd,S,England,13529,26.05,1,1,no,2nd
"Hart, Mr. Henry",male,29,3rd,Q,Ireland,394140,6.1702,0,0,no,3rd
"Hart, Mrs. Esther Ada",female,48,2nd,S,England,13529,26.05,1,1,yes,2nd
"Hassab, Mr. Hammad",male,27,1st,C,Egypt,17572,76.1407,0,0,yes,1st
"Hawksford, Mr. Walter James",male,45,1st,S,England,16988,30,0,0,yes,1st
"Hays, Miss. Margaret Bechstein",female,24,1st,C,United States,11767,83.0302,0,0,yes,1st
"Hays, Mr. Charles Melville",male,55,1st,S,Canada,12749,93.1,1,1,no,1st
"Hays, Mrs. Clara Jennings",female,52,1st,S,Canada,12749,93.1,1,1,yes,1st
"Head, Mr. Christopher",male,42,1st,S,England,113038,42.1,0,0,no,1st
"Healy, Miss. Honor",female,33,3rd,Q,Ireland,370375,7.15,0,0,yes,3rd
"Hedman, Mr. Oskar Arvid",male,27,3rd,S,Sweden,347089,6.1906,0,0,yes,3rd
"Hee, Mr. Ling",male,24,3rd,S,NA,1601,56.0911,0,0,yes,3rd
"Hegarty, Miss. Hanora",female,20,3rd,Q,Ireland,365226,6.15,0,0,no,3rd
"Heikkinen, Miss. Laina",female,16,3rd,S,Finland,3101282,7.1806,0,0,yes,3rd
"Heininen, Miss. Wendla Maria",female,23,3rd,S,Finland,3101290,7.1806,0,0,no,3rd
"Hellström, Miss. Hilda Maria",female,22,3rd,S,Sweden,7548,8.1903,0,0,yes,3rd
"Hendekovic, Mr. Ignjac",male,30,3rd,S,Hungary,349243,7.1711,0,0,no,3rd
"Henriksson, Miss. Jenny Lovisa",female,28,3rd,S,Sweden,347086,7.1506,0,0,no,3rd
"Henry, Miss. Bridget Delia",female,21,3rd,Q,Ireland,382649,7.15,0,0,no,3rd
"Herman, Miss. Alice",female,24,2nd,S,England,220845,65,1,2,yes,2nd
"Herman, Miss. Kate",female,24,2nd,S,England,220845,65,1,2,yes,2nd
"Herman, Mr. Samuel",male,50,2nd,S,England,220845,65,1,2,no,2nd
"Herman, Mrs. Jane",female,50,2nd,S,India,220845,65,1,2,yes,2nd
"Hewlett, Mrs. Mary Dunbar",female,56,2nd,S,India,248706,16,0,0,yes,2nd
"Hickman, Mr. Leonard Mark",male,24,2nd,S,England,14879,73.1,2,0,no,2nd
"Hickman, Mr. Lewis",male,30,2nd,S,England,14879,73.1,2,0,no,2nd
"Hickman, Mr. Stanley George",male,21,2nd,S,England,14879,73.1,2,0,no,2nd
"Hilliard, Mr. Herbert Henry",male,44,1st,S,England,17463,51.1703,0,0,no,1st
"Hiltunen, Miss. Marta",female,18,2nd,S,Finland,250650,13,1,1,no,2nd
"Hipkins, Mr. William Edward",male,55,1st,S,England,680,50,0,0,no,1st
"Hippach, Miss. Jean Gertrude",female,17,1st,C,United States,111361,57.1907,0,1,yes,1st
"Hippach, Mrs. Ida Sophia",female,44,1st,C,United States,111361,57.1907,0,1,yes,1st
"Hirvonen, Miss. Hildur Elisabeth",female,2,3rd,S,Finland,3101298,12.0509,0,1,yes,3rd
"Hirvonen, Mrs. Helga Elisabeth Lindqvist",female,22,3rd,S,Finland,3101298,12.0509,1,1,yes,3rd
"Hocking, Miss. Ellen",female,20,2nd,S,England,29105,23,2,1,yes,2nd
"Hocking, Mr. Richard George",male,24,2nd,S,England,29104,11.1,2,1,no,2nd
"Hocking, Mr. Samuel James Metcalfe",male,36,2nd,S,England,242963,13,0,0,no,2nd
"Hocking, Mrs. Eliza",female,54,2nd,S,England,29105,23,1,3,yes,2nd
"Hodges, Mr. Henry Price",male,50,2nd,S,England,250643,13,0,0,no,2nd
"Hogeboom, Mrs. Anna Louisa",female,51,1st,C,United States,13502,77.1902,1,0,yes,1st
"Hold, Mrs. Annie Margaret",female,29,2nd,S,England,26707,26,1,0,yes,2nd
"Hold, Mr. Stephen",male,44,2nd,S,England,26707,26,1,0,no,2nd
"Holm, Mr. John Fredrik Alexander",male,43,3rd,S,Sweden,7075,6.09,0,0,no,3rd
"Holthen, Mr. Johan Martin",male,18,3rd,S,Norway,4001,22.1006,0,0,no,3rd
"Holverson, Mr. Alexander Oskar",male,42,1st,S,United States,113789,52,1,0,no,1st
"Holverson, Mrs. Mary Aline",female,35,1st,S,United States,113789,52,1,0,yes,1st
"Homer, Mr. Harry",male,40,1st,S,United States,111426,26.11,0,0,yes,1st
"Honkanen, Miss. Eliina",female,27,3rd,S,Finland,3101283,7.1806,0,0,yes,3rd
"Hood, Mr. Ambrose Jr",male,21,2nd,S,England,14879,73.1,0,0,no,2nd
"Horgan, Mr. John",male,22,3rd,Q,NA,370377,7.15,0,0,no,3rd
"Hosono, Mr. Masabumi",male,41,2nd,S,Japan,237798,13,0,0,yes,2nd
"Howard, Miss. May Elizabeth",female,26,3rd,S,England,39186,8.01,0,0,yes,3rd
"Howard, Mr. Benjamin",male,63,2nd,S,England,24065,26,1,0,no,2nd
"Howard, Mrs. Ellen Truelove",female,61,2nd,S,England,24065,26,1,0,no,2nd
"Hoyt, Mr. Frederick Maxfield",male,38,1st,S,United States,19943,100,1,0,yes,1st
"Hoyt, Mrs. Jane Anne",female,31,1st,S,United States,19943,100,1,0,yes,1st
"Hoyt, Mr. William Fisher",male,43,1st,C,United States,17600,30.1311,0,0,no,1st
"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,3rd,S,Norway,348121,7.13,0,0,no,3rd
"Hume, Mr. John Law",male,21,2nd,S,NA,250654,,,,no,2nd
"Hunt, Mr. George Henry",male,34,2nd,S,England,1585,12.0506,0,0,no,2nd
"Hyman, Mr. Abraham Joseph",male,34,3rd,S,England,3470,7.1709,0,0,yes,3rd
"Ibrāhīm, Mr. Husayn Mahmūd Husayn",male,11,3rd,C,NA,2699,18.1509,0,0,no,3rd
"Ibrāhīm, Mrs. Sāfiyah",female,18,3rd,C,Syria,2657,7.0407,0,0,yes,3rd
"Ibrahim Shawah, Mr. Yousseff",male,33,3rd,C,Lebanon,2627,14.0902,0,0,no,3rd
